ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	Amount
130120198506302014	1.038370334	0.127486127	0.184455888	1.109949791	0.4416989	0.945282527	-0.036714604	0.350995	0.11894954	-0.24328924	0.578062601	0.67472982	-0.534230568	0.446601378	1.122884672	-1.768000514	1.241156963	-2.449499863	-1.747255172	-0.335519851	0.102519797	0.60508853	0.023092156	-0.626462661	0.479120272	-0.166936836	0.081246718	0.001191576	1.18
120320200506301718	1.038370334	0.127486127	0.184455888	1.109949791	0.4416989	0.945282527	-0.036714604	0.350995	0.11894954	-0.24328924	0.578062601	0.67472982	-0.534230568	0.446601378	1.122884672	-1.768000514	1.241156963	-2.449499863	-1.747255172	-0.335519851	0.102519797	0.60508853	0.023092156	-0.626462661	0.479120272	-0.166936836	0.081246718	0.001191576	1.18
110240201106302620	1.038370334	0.127486127	0.184455888	1.109949791	0.4416989	0.945282527	-0.036714604	0.350995	0.11894954	-0.24328924	0.578062601	0.67472982	-0.534230568	0.446601378	1.122884672	-1.768000514	1.241156963	-2.449499863	-1.747255172	-0.335519851	0.102519797	0.60508853	0.023092156	-0.626462661	0.479120272	-0.166936836	0.081246718	0.001191576	1.18
133340195606302837	1.038370334	0.127486127	0.184455888	1.109949791	0.4416989	0.945282527	-0.036714604	0.350995	0.11894954	-0.24328924	0.578062601	0.67472982	-0.534230568	0.446601378	1.122884672	-1.768000514	1.241156963	-2.449499863	-1.747255172	-0.335519851	0.102519797	0.60508853	0.023092156	-0.626462661	0.479120272	-0.166936836	0.081246718	0.001191576	1.18
234240196906302834	-1.439068817	0.267631399	3.56277034	3.481485834	-1.160100534	1.764780635	-0.558817274	0.442018635	0.348430743	0.393253076	-0.97215812	0.515885976	0.497186648	-1.483889818	-0.867129647	-1.020169595	1.062549722	-0.359442587	0.880606307	-0.173139546	0.129257258	1.1292817	-0.006978091	0.497337391	0.130515266	0.525668092	-0.088949755	0.113206051	81.13
220230195806303453	-1.024576049	0.522289106	1.787699074	0.202672107	-1.140802866	-0.137830806	-0.336555477	0.670704378	0.071670264	-0.518978194	0.687066404	0.249020266	-1.248619947	0.343492962	-0.236299743	0.528667673	-0.291314514	0.847538604	0.129468112	-0.278965958	0.315867516	0.847564794	0.148876568	0.549790591	-0.585130614	0.325840743	-0.068871446	0.059713185	50
142240195006303843	-3.043540624	-3.157307121	1.08846278	2.288643618	1.35980513	-1.064822523	0.325574266	-0.067793653	-0.270952836	-0.838586565	-0.414575448	-0.50314086	0.676501545	-1.692028933	2.000634839	0.666779696	0.599717414	1.725321007	0.28334483	2.102338793	0.661695925	0.435477209	1.375965743	-0.293803153	0.279798032	-0.145361715	-0.252773123	0.035764225	529
210240195006304234	-2.303349568	1.75924746	-0.359744743	2.330243051	-0.821628328	-0.075787571	0.562319782	-0.399146578	-0.238253368	-1.525411627	2.032912158	-6.560124295	0.022937323	-1.470101536	-0.698826069	-2.282193829	-4.781830856	-2.615664945	-1.334441067	-0.430021867	-0.294166318	-0.932391057	0.172726296	-0.087329538	-0.156114265	-0.542627889	0.039565989	-0.153028797	239.93
210240196706304545	0.96249607	0.328461026	-0.171479054	2.109204068	1.129565571	1.696037686	0.107711607	0.521502164	-1.191311102	0.724396315	1.690329921	0.406773576	-0.936421296	0.983739419	0.710910766	-0.602231772	0.402484376	-1.737162035	-2.027612322	-0.269320967	0.143997423	0.402491661	-0.048508221	-1.371866295	0.390813885	0.199963658	0.016370643	-0.014605328	34.09
420230198606302757	1.166616382	0.502120088	-0.067300314	2.261569239	0.428804195	0.089473517	0.24114658	0.138081705	-0.989162395	0.922174967	0.744785789	-0.53137725	-2.10534645	1.126870105	0.003075323	0.424424506	-0.454475292	-0.098870627	-0.816597307	-0.307168509	0.018701872	-0.061972267	-0.103854922	-0.370415177	0.603200339	0.108555873	-0.040520706	-0.011417815	2.28
430240198406308786	0.247491128	0.277665627	1.185470842	-0.09260255	-1.314393979	-0.150115998	-0.94636495	-1.617935051	1.544071402	-0.829880601	-0.583199527	0.524933232	-0.453375297	0.081393088	1.555204196	-1.396894893	0.783130838	0.436621214	2.177807168	-0.230983143	1.650180361	0.200454091	-0.185352508	0.423073148	0.820591262	-0.227631864	0.336634447	0.250475352	22.75
450240197506304646	-1.946525131	-0.044900505	-0.405570068	-1.013057337	2.9419677	2.955053397	-0.063063147	0.855546309	0.0499669	0.573742508	-0.081256515	-0.215745003	0.044160628	0.033897757	1.190717675	0.578843475	-0.975667025	0.044062818	0.488602869	-0.216715254	-0.579525934	-0.799228953	0.870300215	0.983421493	0.321201133	0.149649877	0.707518836	0.014599752	0.89
630230199506307675	-2.074294672	-0.121481799	1.32202063	0.410007514	0.295197546	-0.95953723	0.543985491	-0.104626728	0.475664018	0.149450615	-0.856566364	-0.180523156	-0.65523293	-0.279796856	-0.211667955	-0.33332061	0.010751094	-0.488472666	0.505751034	-0.386693573	-0.403639499	-0.227404004	0.742434864	0.398534855	0.249212161	0.274404274	0.359969356	0.243231672	26.43
320240199006308686	-0.554064565	0.215728298	0.844264629	-0.753067316	0.03484847	-0.558597248	1.090400958	-0.203873232	0.262393622	-1.35471022	-0.09487988	0.953745992	0.836964039	0.1447522	1.156609532	-1.933020943	0.741348958	-0.513609928	1.567345387	0.383282933	0.212133973	0.702337604	-0.005700602	0.147346442	0.245651952	-0.44045621	0.147130419	0.139467732	120.96
220340198512136477	-3.499107537	0.258555161	-4.489558073	4.853894351	-6.974521545	3.628382091	5.431270921	-1.946733711	-0.775680093	-1.987773188	4.690395666	-6.998042432	1.454011986	-3.738023334	0.317742063	-2.013542681	-5.136135103	-1.183822117	1.663394014	-3.042625757	-1.052368256	0.204816874	-2.11900744	0.170278608	-0.393844118	0.296367194	1.985913218	-0.900451638	1809.68
310310198507232133	-3.499107537	0.258555161	-4.489558073	4.853894351	-6.974521545	3.628382091	5.431270921	-1.946733711	-0.775680093	-1.987773188	4.690395666	-6.998042432	1.454011986	-3.738023334	0.317742063	-2.013542681	-5.136135103	-1.183822117	1.663394014	-3.042625757	-1.052368256	0.204816874	-2.11900744	0.170278608	-0.393844118	0.296367194	1.985913218	-0.900451638	1809.68
110130195208143422	1.069141385	0.043785925	0.309867291	1.316693993	-0.462393624	-0.857887604	0.207903691	-0.191269942	0.056397899	0.041567455	-0.507358125	-0.10866622	-0.473257348	0.45204589	1.00567481	0.185441398	-0.439975752	0.012539148	-0.498587992	-0.001998251	0.11577545	0.164781092	-0.177564055	0.39189057	0.624681738	-0.288376428	-0.001311834	0.035811519	89.4
110410195608104241	1.107029377	0.216441	0.53837815	1.476397993	-0.25194192	-0.340679707	0.154091745	-0.086502546	0.144420201	-0.157374628	-0.107560298	1.066325657	0.620788367	-0.070889338	-0.203857983	-0.853479419	0.336478014	-1.179531721	-0.501729107	-0.111852536	-0.06003745	0.059884123	-0.047526366	0.443992419	0.640295759	-0.337657131	0.042108484	0.02426471	26.72
130230197312304254	-1.035105818	0.996013128	2.192470136	-0.170445303	-0.302319739	-0.142255768	0.223431774	0.28904341	0.094140891	-0.157858733	-0.386373549	-0.628633662	-1.023958211	0.098433875	1.562288762	0.168577702	-0.148826411	-0.28592721	-0.483363894	0.180287627	-0.098000008	-0.170245844	-0.137227527	0.055228279	0.079347554	0.302032602	0.39137735	0.196599881	5.99
110240194506304823	1.212510891	-0.099054296	-1.192094095	0.286323562	2.160516252	3.61631351	-0.404206898	0.842330952	0.169360421	-0.030522177	-0.541957258	0.237212015	-0.218129649	0.197436521	-0.147850246	-0.097830142	-0.510052501	-0.070939281	0.355170584	0.01477744	-0.167496337	-0.49469457	-0.149785451	1.011226555	0.883547705	-0.329433811	0.020370146	0.017037086	34.7
