ID	RevolvingUtilizationOfUnsecuredLines	age	NumberOfTime30-59DaysPastDueNotWorse	DebtRatio	MonthlyIncome	NumberOfOpenCreditLinesAndLoans	NumberOfTimes90DaysLate	NumberRealEstateLoansOrLines	NumberOfTime60-89DaysPastDueNotWorse	NumberOfDependents
130120198506302014	0.043275036	34	0	0.687647522	5083	12	0	1	0	2
120320200506301718	0.280308229	14	1	0.925960637	3200	7	0	2	0	0
110240201106302620	0.9999999	8	0	0.019917227	3865	4	0	0	0	1
133340195606302837	0.509791452	63	0	0.342429365	4140	4	0	0	0	1
234240196906302834	0.587778161	50	0	1048	0	5	0	0	0	3
220230195806303453	0.158548716	61	0	0.353158292	11920	13	0	1	0	0
142240195006303843	0.009303162	69	0	0.384451019	6083	4	0	2	0	0
210240195006304234	0.95744175	69	2	0.666337936	3041	8	1	1	1	1
210240196706304545	0.442489363	52	1	0.286554523	8500	17	0	1	0	2
420230198606302757	0.125267033	33	0	3825	5240	10	0	2	0	0
430240198406308786	0.121839737	35	0	0.712418301	764	6	0	0	0	0
450240197506304646	0.005893211	44	1	0.386379019	11819	25	0	4	0	1
630230199506307675	0.603509659	24	0	1.009598604	4583	21	0	12	0	3
320240199006308686	0.715499066	29	2	0.642835504	3300	12	0	2	0	0
220340198512136477	0.640013926	34	0	0.854994215	2592	13	0	1	0	0
310310198507232133	0.025266165	34	0	0.348583548	6600	8	0	2	0	0
110130195208143422	0.19088468	67	1	2.994208494	1035	23	0	1	0	0
110410195608104241	0.008699783	63	0	0.6961013	3000	6	0	1	0	0
130230197312304254	0.017808676	46	0	0.748034754	2416	6	0	2	0	0
110240194506304823	0.128594901	74	0	0.795734755	3000	22	0	2	0	0
